instance,threads,cores,molecule,method,seconds,mb
c5ad.16xlarge,1,32,anthracene,HF,1.9046506881713867,3936.05859375
c5ad.16xlarge,1,32,anthracene,PBE,31.42202138900757,938.55078125
c5ad.2xlarge,2,4,benzene,HF,0.6302087306976318,276.22265625
c5ad.2xlarge,2,4,benzene,PBE,3.373289108276367,617.69921875
c5ad.2xlarge,2,4,benzene,CCSD,24.607184648513794,3226.0390625
c5ad.2xlarge,2,4,naphthalene,HF,3.2843031883239746,1154.44921875
c5ad.2xlarge,2,4,naphthalene,PBE,8.814614295959473,1697.12890625
c5ad.2xlarge,2,4,naphthalene,CCSD,279.2347676753998,3826.19140625
c5ad.2xlarge,2,4,anthracene,HF,9.583765745162964,3704.0234375
c5ad.2xlarge,2,4,anthracene,PBE,72.13934350013733,893.60546875
c5ad.xlarge,2,2,benzene,HF,1.1727714538574219,267.75390625
c5ad.xlarge,2,2,benzene,PBE,4.780557870864868,606.81640625
c5ad.xlarge,2,2,benzene,CCSD,35.11230492591858,1643.67578125
c5ad.xlarge,2,2,naphthalene,HF,6.386745929718018,1132.34375
c5ad.xlarge,2,2,naphthalene,PBE,13.878971576690674,1671.6796875
c5ad.xlarge,2,2,naphthalene,CCSD,464.8455355167389,3809.3828125
c5ad.xlarge,2,2,anthracene,HF,18.804145336151123,3663.25390625
c5ad.xlarge,2,2,anthracene,PBE,34.18906831741333,3825.0390625
c5ad.large,1,1,benzene,HF,3.11655330657959,262.6640625
c5ad.large,1,1,benzene,PBE,10.52241587638855,598.36328125
c5ad.large,1,1,benzene,CCSD,62.970624685287476,1447.3046875
c5ad.large,1,1,naphthalene,HF,17.752824068069458,1115.796875
c5ad.large,1,1,naphthalene,PBE,32.54962134361267,1651.64453125
c5ad.large,1,1,anthracene,HF,53.21391034126282,3628.6796875
c5ad.large,2,1,benzene,HF,2.363166093826294,263.30859375
c5ad.large,2,1,benzene,PBE,8.566922903060913,601.6171875
c5ad.large,2,1,benzene,CCSD,56.95411801338196,1507.875
c5ad.large,2,1,naphthalene,HF,13.076940059661865,1120.87890625
c5ad.large,2,1,naphthalene,PBE,26.66516423225403,1658.51171875
c5ad.large,2,1,anthracene,HF,38.98589539527893,3636.96875
