materialsproject,DFT,H,He,0
materialsproject,DFT,H,Li,868
materialsproject,DFT,H,Be,113
materialsproject,DFT,H,B,817
materialsproject,DFT,H,C,2708
materialsproject,DFT,H,N,3148
materialsproject,DFT,H,O,7792
materialsproject,DFT,H,F,874
materialsproject,DFT,H,Ne,0
materialsproject,DFT,H,Na,962
materialsproject,DFT,H,Mg,621
materialsproject,DFT,H,Al,639
materialsproject,DFT,H,Si,615
materialsproject,DFT,H,P,1966
materialsproject,DFT,H,S,1541
materialsproject,DFT,H,Cl,1033
materialsproject,DFT,H,Ar,0
materialsproject,DFT,H,K,903
materialsproject,DFT,H,Ca,585
materialsproject,DFT,H,Sc,71
materialsproject,DFT,H,Ti,163
materialsproject,DFT,H,V,559
materialsproject,DFT,H,Cr,260
materialsproject,DFT,H,Mn,553
materialsproject,DFT,H,Fe,570
materialsproject,DFT,H,Co,438
materialsproject,DFT,H,Ni,365
materialsproject,DFT,H,Cu,516
materialsproject,DFT,H,Zn,450
materialsproject,DFT,H,Ga,176
materialsproject,DFT,H,Ge,91
materialsproject,DFT,H,As,298
materialsproject,DFT,H,Se,454
materialsproject,DFT,H,Br,308
materialsproject,DFT,H,Kr,0
materialsproject,DFT,H,Rb,335
materialsproject,DFT,H,Sr,236
materialsproject,DFT,H,Y,84
materialsproject,DFT,H,Zr,122
materialsproject,DFT,H,Nb,53
materialsproject,DFT,H,Mo,205
materialsproject,DFT,H,Tc,12
materialsproject,DFT,H,Ru,93
materialsproject,DFT,H,Rh,44
materialsproject,DFT,H,Pd,89
materialsproject,DFT,H,Ag,126
materialsproject,DFT,H,Cd,173
materialsproject,DFT,H,In,108
materialsproject,DFT,H,Sn,199
materialsproject,DFT,H,Sb,134
materialsproject,DFT,H,Te,161
materialsproject,DFT,H,I,303
materialsproject,DFT,H,Xe,7
materialsproject,DFT,H,Cs,315
materialsproject,DFT,H,Ba,294
materialsproject,DFT,H,La,105
materialsproject,DFT,H,Ce,67
materialsproject,DFT,H,Pr,49
materialsproject,DFT,H,Nd,87
materialsproject,DFT,H,Pm,2
materialsproject,DFT,H,Sm,57
materialsproject,DFT,H,Eu,41
materialsproject,DFT,H,Gd,48
materialsproject,DFT,H,Tb,42
materialsproject,DFT,H,Dy,35
materialsproject,DFT,H,Ho,30
materialsproject,DFT,H,Er,42
materialsproject,DFT,H,Tm,22
materialsproject,DFT,H,Yb,54
materialsproject,DFT,H,Lu,28
materialsproject,DFT,H,Hf,19
materialsproject,DFT,H,Ta,28
materialsproject,DFT,H,W,78
materialsproject,DFT,H,Re,77
materialsproject,DFT,H,Os,46
materialsproject,DFT,H,Ir,23
materialsproject,DFT,H,Pt,113
materialsproject,DFT,H,Au,41
materialsproject,DFT,H,Hg,96
